id;type;language;institutionID;institutionCode;collectionCode;ownerInstitutionCode;basisOfRecord;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;occurrenceStatus;preparations;disposition;samplingProtocol;samplingEffort;eventDate;eventTime;year;month;day;habitat;eventRemarks;continent;country;countryCode;stateProvince;county;locality;verbatimElevation;minimumElevationInMeters;maximumElevationInMeters;verbatimCoordinates;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;georeferenceVerificationStatus;identifiedBy;dateIdentified;identificationQualifier;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;taxonRank;verbatimTaxonRank;scientificNameAuthorship;vernacularName
UPTC:26:26533;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26533;26533;;JSG 132;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;cf. callosa;Dicranella callosa;Plantae;Bryophyta;Bryopsida;Dicranales;Dicranaceae;Dicranella;callosa;Especie;;(Hampe) Mitt;Musgo
UPTC:26:26534;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26534;26534;;JSG 133;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Sphagnum;Plantae;Bryophyta;Sphagnopsida;Sphagnales;Sphagnaceae;Sphagnum;;Género;sp.;;Musgo
UPTC:26:26535;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26535;26535;;JSG 134;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Madera en descomposición;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Heteroscyphus polyblepharis;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Lophocoleaceae;Heteroscyphus;polyblepharis;Especie;;(Spruce) Schiffn.;Hepática
UPTC:26:26536;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26536;26536;;JSG 135;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Rhizogonium novae-hollandiae;Plantae;Bryophyta;Bryopsida;Rhizogoniales;Rhizogoniaceae;Rhizogonium;novae-hollandiae;Especie;;(Brid.) Brid.;Musgo
UPTC:26:26537;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26537;26537;;JSG 136;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Rhizogonium novae-hollandiae;Plantae;Bryophyta;Bryopsida;Rhizogoniales;Rhizogoniaceae;Rhizogonium;novae-hollandiae;Especie;;(Brid.) Brid.;Musgo
UPTC:26:26538;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26538;26538;;JSG 137;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Plagiochila ovata;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Plagiochilaceae;Plagiochila;ovata;Especie;;Lindenb & Gottsche;Hepática
UPTC:26:26539;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26539;26539;;JSG 138;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Heteroscyphus polyblepharis;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Lophocoleaceae;Heteroscyphus;polyblepharis;Especie;;(Spruce) Schiffn.;Hepática
UPTC:26:26540;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26540;26540;;JSG 139;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Plagiochila patula;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Plagiochilaceae;Plagiochila;patula;Especie;;(Sw.) Lindenb.;Hepática
UPTC:26:26541;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26541;26541;;JSG 140;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Cheilolejeunea;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Lejeuneaceae;Cheilolejeunea;;Género;sp.;;Hepática
UPTC:26:26542;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26542;26542;;JSG 141;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Campylopus heterostachys;Plantae;Bryophyta;Bryopsida;Dicranales;Leucobryaceae;Campylopus;heterostachys;Especie;;(Hampe) A. Jaeger;Musgo
