id;type;language;institutionID;institutionCode;collectionCode;ownerInstitutionCode;basisOfRecord;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;occurrenceStatus;preparations;disposition;otherCatalogNumbers;samplingProtocol;samplingEffort;eventDate;eventTime;year;month;day;habitat;eventRemarks;continent;country;countryCode;stateProvince;county;locality;verbatimElevation;minimumElevationInMeters;maximumElevationInMeters;verbatimCoordinates;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;identifiedBy;dateIdentified;identificationQualifier;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;taxonRank;verbatimTaxonRank;scientificNameAuthorship;vernacularName
UPTC:26:27291;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27291;27291;Nan;D.A-Moreno 3965;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;153;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Plagiochila tenuis;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Plagiochilaceae;Plagiochila;tenuis;Especie;Nan;Lindenb.;Hepática
UPTC:26:27292;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27292;27292;Nan;D.A-Moreno 3966;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;154;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Cortícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;aff. filiformis;Cheilolejeunea filiformis;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Lejeuneaceae;Cheilolejeunea;filiformis;Especie;Nan;(Sw.) Nees.;Hepática
UPTC:26:27293;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27293;27293;Nan;D.A-Moreno 3967;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;155;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Calypogeia uncinulatula;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Calypogeiaceae;Calypogeia;uncinulatula;Especie;Nan;Herzog;Hepática
UPTC:26:27294;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27294;27294;Nan;D.A-Moreno 3968;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;156;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Plagiochila cuneata;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Plagiochilaceae;Plagiochila;cuneata;Especie;Nan;Lindenb. & Gottsche;Hepática
UPTC:26:27295;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27295;27295;Nan;D.A-Moreno 3969;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;157;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Madera en descomposición;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;cf. albidovirens;Campylopus albidovirens;Plantae;Bryophyta;Bryopsida;Dicranales;Leucobryaceae;Campylopus;albidovirens;Especie;Nan;Herzog;Musgo
UPTC:26:27296;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27296;27296;Nan;D.A-Moreno 3970;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;158;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Plagiochila bifaria;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Plagiochilaceae;Plagiochila;bifaria;Especie;Nan;(Sw.) Lindenb.;Hepática
UPTC:26:27297;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27297;27297;Nan;D.A-Moreno 3971;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;159;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;aff. longifolium;Macromitrium longifolium;Plantae;Bryophyta;Bryopsida;Orthotrichales;Orthotrichaceae;Macromitrium;longifolium;Especie;Nan;(Hook.) Brid.;Musgo
UPTC:26:27298;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27298;27298;Nan;D.A-Moreno 3972;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;160;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Madera en descomposición;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;cf. zygodonticarpus;Campylopus zygodonticarpus;Plantae;Bryophyta;Bryopsida;Dicranales;Leucobryaceae;Campylopus;zygodonticarpus;Especie;Nan;(Müll.Hal.) Paris;Musgo
UPTC:26:27299;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27299;27299;Nan;D.A-Moreno 3973;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;161;Colecta general;8 Horas/ dia;4/08/2018;8:00/16:00;2018;8;4;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3067;3067;3067;5°23'29.1''N | 73°15'14.9''W;5°23'29.1''N;73°15'14.9''W;Grados minutos segundos;WGS84;53914167;-732541389;WGS84;D. A. Moreno;;;Hypnum amabile;Plantae;Bryophyta;Bryopsida;Hypnales;Hypnaceae;Hypnum;amabile;Especie;Nan;(Mitt.) Hampe;Musgo
UPTC:26:27300;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27300;27300;Nan;D.A-Moreno 3974;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;162;Colecta general;8 Horas/ dia;4/08/2018;8:00/16:00;2018;8;4;Bosque;Madera en descomposición;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3067;3067;3067;5°23'29.1''N | 73°15'14.9''W;5°23'29.1''N;73°15'14.9''W;Grados minutos segundos;WGS84;53914167;-732541389;WGS84;D. A. Moreno;;;Dicranum frigidum;Plantae;Bryophyta;Bryopsida;Dicranales;Dicranaceae;Dicranum;frigidum;Especie;Nan;Müll.Hal.;Musgo
UPTC:26:27301;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27301;27301;Nan;D.A-Moreno 3975;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;163;Colecta general;8 Horas/ dia;4/08/2018;8:00/16:00;2018;8;4;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3067;3067;3067;5°23'29.1''N | 73°15'14.9''W;5°23'29.1''N;73°15'14.9''W;Grados minutos segundos;WGS84;53914167;-732541389;WGS84;D. A. Moreno;;;Plagiochila ovata;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Plagiochilaceae;Plagiochila;ovata;Especie;Nan;Lindenb & Gottsche;Hepática
UPTC:26:27302;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27302;27302;Nan;D.A-Moreno 3976;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;164;Colecta general;8 Horas/ dia;4/08/2018;8:00/16:00;2018;8;4;Bosque;Madera en descomposición;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3067;3067;3067;5°23'29.1''N | 73°15'14.9''W;5°23'29.1''N;73°15'14.9''W;Grados minutos segundos;WGS84;53914167;-732541389;WGS84;D. A. Moreno;;;Syzygiella rubricaulis;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Jamesoniellaceae;Syzygiella;rubricaulis;Especie;Nan;(Nees) Steph.;Hepática
